source,title,author,detail_link
project_gutenberg,"The Lusiad; Or, The Discovery of India, an Epic Poem",Luís de Camões,https://www.gutenberg.org/ebooks/32528
project_gutenberg,"Arsène Lupin, gentleman-cambrioleur (French)",Maurice Leblanc,https://www.gutenberg.org/ebooks/32854
project_gutenberg,The Legends of King Arthur and His Knights,Sir Thomas Malory and Sir James Knowles,https://www.gutenberg.org/ebooks/12753
project_gutenberg,"Thuvia, Maid of Mars",Edgar Rice Burroughs,https://www.gutenberg.org/ebooks/72
project_gutenberg,Lord Jim,Joseph Conrad,https://www.gutenberg.org/ebooks/5658
project_gutenberg,The Yeoman Adventurer,George W. Gough,https://www.gutenberg.org/ebooks/7326
project_gutenberg,Library of the World's Best Mystery and Detective Stories,,https://www.gutenberg.org/ebooks/12758
project_gutenberg,The Adventurous Simplicissimus,Hans Jakob Christoph von Grimmelshausen,https://www.gutenberg.org/ebooks/33858
project_gutenberg,The Arabian Nights Entertainments,Andrew Lang,https://www.gutenberg.org/ebooks/128
project_gutenberg,The Scarlet Pimpernel,Baroness Emmuska Orczy Orczy,https://www.gutenberg.org/ebooks/60
project_gutenberg,Folk-Tales of Bengal,Lal Behari Day,https://www.gutenberg.org/ebooks/38488
project_gutenberg,"The Story of Little Black Sambo, and The Story of Little Black Mingo",Helen Bannerman,https://www.gutenberg.org/ebooks/1330
project_gutenberg,The Virginian: A Horseman of the Plains,Owen Wister,https://www.gutenberg.org/ebooks/1298
project_gutenberg,Captain Blood,Rafael Sabatini,https://www.gutenberg.org/ebooks/28944
project_gutenberg,The Empty House and Other Ghost Stories,Algernon Blackwood,https://www.gutenberg.org/ebooks/14471
project_gutenberg,The Secret Adversary,Agatha Christie,https://www.gutenberg.org/ebooks/1155
project_gutenberg,The Narrative of Arthur Gordon Pym of Nantucket,Edgar Allan Poe,https://www.gutenberg.org/ebooks/51060
project_gutenberg,Scouting for Boys,Baron Robert Stephenson Smyth Baden-Powell Baden-Powell of Gilwell,https://www.gutenberg.org/ebooks/65993
project_gutenberg,The case-book of Sherlock Holmes,Arthur Conan Doyle,https://www.gutenberg.org/ebooks/69700
project_gutenberg,Scaramouche: A Romance of the French Revolution,Rafael Sabatini,https://www.gutenberg.org/ebooks/28945
project_gutenberg,"The General Historie of Virginia, New England & the Summer Isles  (Vol. I)",John Smith,https://www.gutenberg.org/ebooks/56347
project_gutenberg,The Dog Crusoe and His Master,R. M. Ballantyne,https://www.gutenberg.org/ebooks/26219
project_gutenberg,The Gods of Mars,Edgar Rice Burroughs,https://www.gutenberg.org/ebooks/64
project_gutenberg,His last bow :  Some later reminiscences of Sherlock Holmes,Arthur Conan Doyle,https://www.gutenberg.org/ebooks/2350
project_gutenberg,Japanese Fairy Tales,Yei Theodora Ozaki,https://www.gutenberg.org/ebooks/4018
project_gutenberg,The Man in the Brown Suit,Agatha Christie,https://www.gutenberg.org/ebooks/61168
project_gutenberg,Four Arthurian Romances,active 12th century de Troyes Chrétien,https://www.gutenberg.org/ebooks/831
project_gutenberg,"Winesburg, Ohio: A Group of Tales of Ohio Small Town Life",Sherwood Anderson,https://www.gutenberg.org/ebooks/416
project_gutenberg,The Thirty-Nine Steps,John Buchan,https://www.gutenberg.org/ebooks/558
project_gutenberg,Allan Quatermain,H. Rider Haggard,https://www.gutenberg.org/ebooks/21440
project_gutenberg,The Arabian Nights: Their Best-known Tales,,https://www.gutenberg.org/ebooks/20916
project_gutenberg,The Fortunes and Misfortunes of the Famous Moll Flanders,Daniel Defoe,https://www.gutenberg.org/ebooks/26583
project_gutenberg,The Princess and the Goblin,George MacDonald,https://www.gutenberg.org/ebooks/708
project_gutenberg,Pals: Young Australians in Sport and Adventure,Joseph Bowes,https://www.gutenberg.org/ebooks/44369
project_gutenberg,Voyage au Centre de la Terre (French),Jules Verne,https://www.gutenberg.org/ebooks/4791
project_gutenberg,Red Nails,Robert E. Howard,https://www.gutenberg.org/ebooks/32759
project_gutenberg,The prisoner of Zenda,Anthony Hope,https://www.gutenberg.org/ebooks/22436
project_gutenberg,Up the Orinoco and down the Magdalena,J. A. Zahm,https://www.gutenberg.org/ebooks/45848
project_gutenberg,Frenzied Fiction,Stephen Leacock,https://www.gutenberg.org/ebooks/28919
project_gutenberg,The Sea-Wolf,Jack London,https://www.gutenberg.org/ebooks/1074
project_gutenberg,Argonauts of the Western Pacific,Bronislaw Malinowski,https://www.gutenberg.org/ebooks/55822
project_gutenberg,Robinson Crusoe,Daniel Defoe,https://www.gutenberg.org/ebooks/21524
project_gutenberg,The Hour of the Dragon,Robert E. Howard,https://www.gutenberg.org/ebooks/42243
project_gutenberg,The Adventures of Tom Sawyer,Mark Twain,https://www.gutenberg.org/ebooks/26203
project_gutenberg,L'île mystérieuse (French),Jules Verne,https://www.gutenberg.org/ebooks/14287
project_gutenberg,"Joseph Andrews, Vol. 1",Henry Fielding,https://www.gutenberg.org/ebooks/9611
project_gutenberg,Kim,Rudyard Kipling,https://www.gutenberg.org/ebooks/2226
project_gutenberg,"Weird Tales, Volume 1, Number 1, March 1923: The unique magazine",Various,https://www.gutenberg.org/ebooks/68957
project_gutenberg,El libro de las tierras vírgenes (Spanish),Rudyard Kipling,https://www.gutenberg.org/ebooks/69552
